text,category
Scholarship amount not credited during peak hours,Fees / Admin
Orientation sessions are unclear,Other
Document verification delayed,Fees / Admin
No CCTV in corridor,Ragging / Safety
Urgent: projector not working in seminar hall,Infrastructure
Poor lighting in parking area in Block C,Ragging / Safety
Urgent: feedback not considered,Faculty / Academics
Need career guidance sessions during peak hours,Other
Air circulation is poor during peak hours,Infrastructure
Urgent: class is too fast to understand,Faculty / Academics
Campus is too crowded during peak hours,Other
Bullying in college campus since yesterday,Ragging / Safety
Doubts not cleared in lab during peak hours,Faculty / Academics
Bus did not come today since yesterday,Transport
Bonafide certificate delayed during peak hours,Fees / Admin
Urgent: result correction request pending,Exams / Results
Bus timings are inconvenient during peak hours,Transport
Hall ticket not generated during peak hours,Exams / Results
Urgent: network issue in library,IT / WiFi
Bus timings are inconvenient during peak hours,Transport
Urgent: internal marks not showing,Exams / Results
Fee receipt not generated in Block C,Fees / Admin
Urgent: power cut in hostel since morning,Hostel
Air circulation is poor since yesterday,Infrastructure
Captcha error on login in Block C,IT / WiFi
Drinking water cooler not working in hostel since yesterday,Hostel
Exam timetable not released,Exams / Results
Urgent: result correction request pending,Exams / Results
Room fan is not working in hostel,Hostel
Urgent: windows are jammed,Infrastructure
Broken bench in classroom during peak hours,Infrastructure
Urgent: air circulation is poor,Infrastructure
Fee deadline extension needed since yesterday,Fees / Admin
Office hours unclear since yesterday,Fees / Admin
Bus cleanliness is poor,Transport
Menu prices not displayed during peak hours,Canteen
Need more clubs and activities during peak hours,Other
Drinking water cooler not working in hostel in Block C,Hostel
Food allergy info not available since yesterday,Canteen
Urgent: duplicate fee charged,Fees / Admin
Internal marks not showing since yesterday,Exams / Results
No seating space in peak hours since yesterday,Canteen
Urgent: need more water coolers,Other
Urgent: driver drives rashly,Transport
Urgent: canteen closes too early,Canteen
Bus stop changed without notice in Block C,Transport
No drinking water near canteen since yesterday,Canteen
Feedback not considered in Block C,Faculty / Academics
Bed is broken in hostel room during peak hours,Hostel
Exam results are delayed since yesterday,Exams / Results
Unable to login to student portal during peak hours,IT / WiFi
Hostel food quality is very bad,Hostel
Bus cleanliness is poor since yesterday,Transport
No proper announcement system in Block C,Other
Hot water not available in hostel,Hostel
Course outcomes not explained,Faculty / Academics
Urgent: no drinking water near canteen,Canteen
Drinking water cooler not working in hostel since yesterday,Hostel
Transport fee is too high during peak hours,Transport
No announcement about bus delays since yesterday,Transport
Toilet is very dirty in Block C,Infrastructure
Sports equipment is damaged,Other
Attendance portal is slow since yesterday,IT / WiFi
Fees payment failed but amount debited,Fees / Admin
Fee receipt not generated in Block C,Fees / Admin
Urgent: result correction request pending,Exams / Results
Urgent: campus is too crowded,Other
Dirty washroom in hostel block in Block C,Hostel
Library closing too early in Block C,Other
AC not cooling in hostel room,Hostel
No CCTV in corridor in Block C,Ragging / Safety
Classroom is too hot during peak hours,Infrastructure
Teaching quality is poor,Faculty / Academics
Internet speed is very slow in Block C,IT / WiFi
Orientation sessions are unclear during peak hours,Other
Doubts not cleared in lab in Block C,Faculty / Academics
Fees payment failed but amount debited in Block C,Fees / Admin
Admin staff is rude,Fees / Admin
No ramps for accessibility,Infrastructure
Urgent: no seating space in peak hours,Canteen
Utensils are dirty since yesterday,Canteen
No proper announcement system during peak hours,Other
Unauthorized people entering campus since yesterday,Ragging / Safety
Feeling unsafe in hostel at night during peak hours,Ragging / Safety
Urgent: seating arrangement confusion,Exams / Results
Hostel common area is unhygienic since yesterday,Hostel
Urgent: no cctv in corridor,Ragging / Safety
Canteen is overcrowded since yesterday,Canteen
No seating space in peak hours since yesterday,Canteen
Hostel food quality is very bad during peak hours,Hostel
Threats received from seniors in Block C,Ragging / Safety
Urgent: bus stop changed without notice,Transport
Broken bench in classroom,Infrastructure
Bullying in college campus since yesterday,Ragging / Safety
Urgent: wrong marks updated in portal,Exams / Results
Seating arrangement confusion in Block C,Exams / Results
Name correction request pending during peak hours,Fees / Admin
No ramps for accessibility during peak hours,Infrastructure
Attendance portal is slow since yesterday,IT / WiFi
Office hours unclear since yesterday,Fees / Admin
Urgent: unauthorized people entering campus,Ragging / Safety
No guidance for projects,Faculty / Academics
No water in hostel bathroom since yesterday,Hostel
Toilet is very dirty since yesterday,Infrastructure
Lights are not working in corridor,Infrastructure
Urgent: two-factor authentication not working,IT / WiFi
Projector not working in seminar hall in Block C,Infrastructure
Staff behavior is rude in canteen in Block C,Canteen
Urgent: food allergy info not available,Canteen
Faculty behavior is rude in Block C,Faculty / Academics
No drinking water near canteen since yesterday,Canteen
Fee receipt not generated,Fees / Admin
Exam results are delayed since yesterday,Exams / Results
Two-factor authentication not working since yesterday,IT / WiFi
Urgent: hall ticket not generated,Exams / Results
Bus route has been changed suddenly,Transport
Hall ticket not generated since yesterday,Exams / Results
Unauthorized people entering campus in Block C,Ragging / Safety
No digital payment accepted in Block C,Canteen
ID card not issued,Fees / Admin
Urgent: admit card download failed,Exams / Results
Hostel common area is unhygienic since yesterday,Hostel
No internet in classroom,IT / WiFi
Urgent: need more charging points,Other
Unauthorized people entering campus since yesterday,Ragging / Safety
VPN access is failing since yesterday,IT / WiFi
Urgent: security guards not attentive,Ragging / Safety
Unable to login to student portal since yesterday,IT / WiFi
Urgent: course outcomes not explained,Faculty / Academics
Urgent: wardens not responding to complaints,Hostel
Emergency helpline not responding since yesterday,Ragging / Safety
Lights are not working in corridor during peak hours,Infrastructure
Office is not responding in Block C,Fees / Admin
No CCTV in corridor in Block C,Ragging / Safety
Question paper had errors,Exams / Results
LMS not loading videos,IT / WiFi
Mosquito problem in hostel room during peak hours,Hostel
Room fan is not working in hostel since yesterday,Hostel
Exam timetable not released since yesterday,Exams / Results
Attendance portal is slow during peak hours,IT / WiFi
Class is too fast to understand in Block C,Faculty / Academics
No digital payment accepted,Canteen
Seniors are harassing juniors in Block C,Ragging / Safety
Bed is broken in hostel room since yesterday,Hostel
Sports equipment is damaged since yesterday,Other
Food is stale,Canteen
Result portal is not loading,Exams / Results
No dustbin in corridor during peak hours,Infrastructure
No notes provided by faculty,Faculty / Academics
Class is too fast to understand during peak hours,Faculty / Academics
Air circulation is poor during peak hours,Infrastructure
Urgent: lack of green spaces on campus,Other
Urgent: exam schedule overlaps,Exams / Results
Urgent: no escort service at night,Ragging / Safety
Security guards not attentive during peak hours,Ragging / Safety
Dirty washroom in hostel block,Hostel
Lack of green spaces on campus,Other
Exam center changed suddenly in Block C,Exams / Results
Bullying in college campus since yesterday,Ragging / Safety
Verbal abuse by seniors,Ragging / Safety
Urgent: air circulation is poor,Infrastructure
WiFi is not working in the lab during peak hours,IT / WiFi
No escort service at night in Block C,Ragging / Safety
WiFi disconnects frequently,IT / WiFi
Urgent: feedback not considered,Faculty / Academics
Utensils are dirty during peak hours,Canteen
Door hinges are broken,Infrastructure
Canteen is overcrowded in Block C,Canteen
Driver drives rashly in Block C,Transport
Verbal abuse by seniors,Ragging / Safety
Faculty is absent frequently in Block C,Faculty / Academics
Classroom is too hot in Block C,Infrastructure
Faculty behavior is rude since yesterday,Faculty / Academics
No guidance for projects during peak hours,Faculty / Academics
Limited food options available,Canteen
No water in hostel bathroom in Block C,Hostel
No seating space in peak hours,Canteen
Need more study space since yesterday,Other
Classroom speakers not working during peak hours,Infrastructure
Room fan is not working in hostel,Hostel
Bus route has been changed suddenly during peak hours,Transport
Hostel food quality is very bad since yesterday,Hostel
Syllabus not completed on time since yesterday,Faculty / Academics
Urgent: faculty is absent frequently,Faculty / Academics
Fees portal not opening in Block C,Fees / Admin
Room fan is not working in hostel in Block C,Hostel
Food allergy info not available during peak hours,Canteen
Class is too fast to understand,Faculty / Academics
Urgent: exam schedule overlaps,Exams / Results
No ramps for accessibility during peak hours,Infrastructure
